well_name,Intensity_sum_22_SE,Nuclei_Intensity_mean_00_EU,mapobject_id_cell,mapobject_id
K19,9856846.811554436,532.223434736851,320518,320568
K19,7688635.723710159,295.27448403242676,320519,320569
K19,6065816.694763151,301.71934482320097,320521,320571
K19,4468698.338900885,368.32232045433216,320522,320572
K19,5310700.7761665685,536.6178157323513,320525,320575
K19,6696538.944472353,595.2332631217607,320526,320576
K19,4780737.197326375,494.1357329316329,320527,320577
K19,10086743.824931026,374.9924274601833,320529,320579
K19,3621964.493281268,289.9388623985668,320530,320580
K19,5660434.839467433,309.643330363968,320531,320581
K19,8115641.718719955,316.80529669931036,293127,293184
K19,9112702.828781167,524.8041207625549,293129,293186
K19,5032455.768791503,350.0710449754732,293131,293188
K19,8596267.090450246,583.24018640845145,293132,293189
K19,5480249.021275811,350.02136055596543,293133,293190
K19,10741382.179257018,549.1104553483217,293136,293193
K19,9613514.034222668,769.701708043668,293137,293194
K19,10735592.475763308,373.01489651105396,293138,293195
K19,11703073.602666128,749.6377213951694,293139,293196
K19,11987849.802903803,312.09955295553175,293141,293198
K19,7235988.359158938,249.0632191344368,293142,293199
K19,7432920.990781753,388.88599698450406,293143,293200
K19,12191054.954696996,805.0186424290789,293144,293201
K19,7191646.670650888,388.4040484318291,293146,293203
K19,7261661.721401365,278.73660859770143,293147,293204
K19,4705313.234255064,335.920443920083,281673,281727
K19,6978892.282841639,268.72955456862576,281674,281728
K19,5266583.036565515,351.3701145940139,281675,281729
K19,8611151.889667772,359.2185011038824,281676,281730
K19,8486448.43779754,446.65763199330803,281677,281731
K19,6414796.588661183,241.05595609112302,281678,281732
K19,8209633.93332754,222.04529287309228,281680,281734
K19,10935912.041988293,289.11737992754917,281682,281736
K19,9197143.661520801,373.5575070400961,281683,281737
K19,7334117.19099029,233.81365315693736,281684,281738
K19,6982496.923872561,192.27433843019753,281686,281740
K19,6938988.2160551725,318.181363879025,281687,281741
K19,6497415.007908509,242.5159188947341,281690,281744
K19,9719686.104193749,669.7993633366539,281691,281745
K19,14534743.081362592,270.4742334932728,281692,281746
K19,9262124.543722518,803.7817625277061,281693,281747
K19,7269107.437326694,244.6514847487055,281694,281748
K19,12356195.42493376,328.2293326910377,281695,281749
K19,14744448.603782065,246.39862418410428,281696,281750
K19,5645250.011139313,169.95459167694892,281698,281752
K19,6349431.794047471,257.6320652405806,281699,281753
K19,5317355.453051938,175.73631513725925,281702,281756
K19,7959415.1172604915,293.1624805771418,281704,281758
K19,7083237.2574617285,436.7994337202607,281705,281759
K19,10772913.717176389,370.903768945513,236973,237021
K19,8555618.998288095,286.7756116309185,236975,237023
K19,6527874.205112058,251.3550583823052,236976,237024
K19,6860028.474291068,261.7185217754121,236977,237025
K19,6763771.800700531,281.4233916513381,236978,237026
K19,7705421.747707821,358.2151595351626,236979,237027
K19,6002710.31173159,304.13090255147574,236980,237028
K19,6544357.468914893,419.73639303207347,236982,237030
K19,2846581.9789111973,263.46272512468556,236984,237032
K19,5701013.679136567,260.11606722764117,236985,237033
K19,6032969.359476446,299.5201790644693,236986,237034
K19,7844868.37257042,406.57583885211807,236987,237035
K19,10000943.107321464,279.16853083090047,236988,237036
K19,9066074.052306535,239.15561470573576,236989,237037
K19,5168185.973247126,255.9771593333503,236990,237038
K19,7459688.932568746,270.57437318747515,236991,237039
K19,7044072.924347158,284.0046131405314,236993,237041
K19,6166103.668369859,290.9682547528965,236994,237042
K19,7497651.393543935,288.71243729584506,236995,237043
K19,9099945.154025227,220.1447751876383,236996,237044
K19,8688142.12954595,367.1589350408432,236997,237045
K19,6959003.552079347,262.3513057357917,236998,237046
K19,9423946.16138546,400.85436350573866,236999,237047
K19,10242332.132990057,293.8116427530407,237001,237049
K19,9074528.123545688,230.83874253802966,237002,237050
K19,7787245.226366285,195.11263239509856,237003,237051
K19,7052768.306385924,312.8314996460357,237004,237052
K19,6869665.495157426,304.45758701629904,237005,237053
K19,7253546.499684383,232.73906846531818,237006,237054
K19,10168617.438492885,190.46256170781803,237007,237055
K19,8224358.573962622,382.6830560133042,237008,237056
K19,5180326.032811817,233.70908367050944,254922,254998
K19,7877606.074332967,358.7655160984131,254924,255000
K19,7661965.125568281,294.0909991444632,254925,255001
K19,4397548.327574703,208.32886465425165,254926,255002
K19,9461178.057328673,254.76777061842944,254928,255004
K19,7954711.995136099,404.3106766130776,254929,255005
K19,6277226.0235883,366.66105632530616,254931,255007
K19,5746862.145830722,245.92657963575942,254932,255008
K19,5335793.197777429,232.57252694984584,254934,255010
K19,3817666.1862253775,238.69029927514526,254936,255012
K19,5870818.841241033,186.85583135305666,254938,255014
K19,7805153.921060611,200.20051762072032,254940,255016
K19,6876420.051694697,232.07362063957353,254943,255019
K19,4070623.889621907,300.9699088127732,254944,255020
K19,4150685.233718604,207.42893947179596,254945,255021
K19,7767504.949539728,251.6679236792367,254946,255022
K19,7678439.610886088,236.2309566769168,254947,255023
K19,5565145.750004691,180.97967754769775,254949,255025
K19,5165426.602785908,204.7839290456805,254950,255026
K19,4747489.172967394,170.0187443112982,254951,255027
K19,4608873.968175896,186.52008403087464,254952,255028
K19,9124563.537444446,364.8072888134596,254955,255031
K19,9743219.076708322,343.14897412581615,254956,255032
K19,5070522.791277277,176.9392209092616,254957,255033
K19,4999663.055189433,163.0540944169063,254959,255035
K19,7114269.592199039,349.36629378587634,254960,255036
K19,8205431.96515966,452.30718278384586,254961,255037
K19,10514114.80984064,289.4926909807914,254962,255038
K19,6484109.7507641185,569.3733442395044,254963,255039
K19,8361135.954143647,154.7999747851017,254965,255041
K19,7160402.286730733,362.5207178328759,254968,255044
K19,6611095.023509913,162.70499246132573,254970,255046
K19,4677645.205136288,255.26867316763244,254971,255047
K19,6239922.534222727,161.8960753706609,254973,255049
K19,5377712.219494536,196.30499795224324,225562,225627
K19,6003078.422870531,464.9398300855338,225563,225628
K19,5497188.376145338,361.9458247990883,225565,225630
K19,5456333.306813913,219.00401692301543,225568,225633
K19,8223670.145658794,354.1330407300647,225571,225636
K19,5624185.1584603945,187.3911864026233,225573,225638
K19,8186074.6253578765,306.4036007996684,225574,225639
K19,3257826.6917425436,238.25823658145802,225577,225642
K19,7787568.664770292,315.00523277453607,225578,225643
K19,6961579.3546647085,211.07897746523835,225579,225644
K19,6888845.704639044,390.1070248002378,225580,225645
K19,6410800.23212046,250.9157397664546,225586,225651
K19,8545308.765158627,494.1913601342513,225587,225652
K19,5599873.046630014,190.11769173259006,225588,225653
K19,5511216.395223897,179.82139967035323,225589,225654
K19,6040655.020659273,177.39288690296763,225590,225655
K19,6898709.795651523,309.20384832532926,225593,225658
K19,7921764.780197494,249.35930051714755,225596,225661
K19,5687715.249702755,176.35295310337085,225597,225662
K19,5812214.455487945,162.85533883170123,225598,225663
K19,7153315.708381868,166.56948740512084,225599,225664
K19,6159387.151934389,142.70869535520214,225601,225666
K19,5769208.462246631,238.75913089549888,225602,225667
K19,5541133.472207457,161.5256966497734,225603,225668
K19,5676245.67131694,243.84737804484882,225606,225671
K19,6240441.440226744,135.91406719859316,225608,225673
K19,4592438.693424559,317.05035155903033,225609,225674
K19,7504767.428587012,300.5203249464962,225610,225675
K19,4863520.6520922715,281.7813594559693,225611,225676
K19,5639416.610297899,375.7956068281028,225612,225677
K19,4829028.618865763,221.48394570519395,225613,225678
K19,10716391.58807251,228.76028323749253,225614,225679
K19,8805791.776078094,438.4854985533059,256603,256656
K19,7173628.1473549595,192.56940298525552,256605,256658
K19,6572974.159649287,653.7265337788874,256606,256659
K19,7129996.345669701,140.3420726641494,256607,256660
